Item,FY2021,FY2020,FY2019,FY2018
Cash and bank balances,40000,40000,40000,40000
Inventories,40000,34000,32000,45000
Trade receivables,75583,69984,64800,60000
Property,144000,146000,148000,150000
Other fixed assets,39998,39999,40000,35000
Total assets,339581,329983,324800,330000
Trade payables,75000,60000,52000,43000
Short-term loans,20000,32000,27000,25000
Long-term liabilities,50000,50000,50000,50000
Capital and retained earnings,194581,187983,195800,212000
Total liabilities and equity,339581,329983,324800,330000
